time,level,estimate,std_error,lower_bound,upper_bound,p_value,sig
-54,Average,-0.5845386113560429,0.4512355024061574,-1.1687763260147346,0.404659442875701,0.19517605716995545,
-53,Average,-0.6573837120425297,0.4664019954860916,-1.2960864552691331,0.3733021196471855,0.15869364599535585,
-52,Average,-0.07328849879085887,0.14614000559795354,-0.25444808949673686,0.23215654898685695,0.6160227155320268,
-51,Average,-0.07166962593389535,0.146620750084064,-0.25183223826468776,0.23529165354952253,0.6249765214493772,
-50,Average,-0.058301214300086494,0.14592402014866632,-0.236345836081788,0.24884740486503615,0.6895017613744319,
-49,Average,-0.033814253562522247,0.14875412066520155,-0.2231072624385126,0.2814841440378408,0.8201777091473177,
-48,Average,-0.02960796097538405,0.13861773236371533,-0.23740448797199534,0.2581456998536832,0.8308634252795153,
-47,Average,-0.007460973482145079,0.14140863584153976,-0.20728476130377016,0.2851639004476876,0.9579217021009878,
-46,Average,-0.031886560245271464,0.13607859966712277,-0.21993675184752126,0.25372965070852693,0.8147330076430337,
-45,Average,0.008674493513995985,0.14295335753532817,-0.18915208498633793,0.2999867329131989,0.951613593267272,
-44,Average,-0.022575195435520435,0.15410035832916674,-0.21735869980412892,0.29176399851992496,0.8835292872964629,
-43,Average,-0.037624058477160265,0.1680011766488103,-0.24104895654085604,0.3053748301405364,0.8227953062440745,
-42,Average,-0.015205970073539233,0.15547494309081195,-0.20392371866022244,0.30208687784866833,0.9220884482551357,
-41,Average,0.05013951517204271,0.15422665837048286,-0.15808547131032036,0.3585397136876619,0.7451032860637579,
-40,Average,0.10762154210945536,0.17188137359040342,-0.1613309746525412,0.4809389583462158,0.5312241142182994,
-39,Average,0.17541965735947063,0.16390076982903332,-0.06433057807414624,0.5082146507676493,0.28449345483868926,
-38,Average,0.12651287458979493,0.1779176102313054,-0.14387580163504338,0.5268840971391834,0.4770373782956929,
-37,Average,0.14680447779203923,0.17533302393277192,-0.12926388031556799,0.5258589073043459,0.4024299308545469,
-36,Average,-0.018440432965428945,0.18525548012373877,-0.27673118361727805,0.403017583840987,0.920709091008312,
-35,Average,0.16464460780578954,0.14302417972475612,-0.0467306831099151,0.4665604037442584,0.24966384938875974,
-34,Average,-0.04371550256300581,0.1642418490605266,-0.2890579792738392,0.30255646043918444,0.7901118049703213,
-33,Average,0.1482035434808972,0.15585479105504552,-0.07780595569544552,0.4761248823324109,0.3416511591025544,
-32,Average,-0.03814607829633278,0.1298517052869648,-0.2620243107200253,0.2509865607923777,0.7689363510765665,
-31,Average,-0.04954391073104832,0.16803815554331325,-0.30305565877296003,0.33221903572169714,0.7681181953317411,
-30,Average,-0.0217198292915541,0.155132520487551,-0.26634879946397266,0.3070330840471804,0.8886534894565516,
-29,Average,0.029010754585994232,0.15062302597300825,-0.21753987909986772,0.3467848393085023,0.847268294142856,
-28,Average,0.09315845793841926,0.11885148214416286,-0.11510468210608515,0.33774017497206565,0.43314430867061393,
-27,Average,0.08012567599050104,0.11437389683950164,-0.12164034519150817,0.3146609210283427,0.48357820084239966,
-26,Average,-0.01641961652221527,0.1416378328016365,-0.23844322739894283,0.2949797823824635,0.9077105790257647,
-25,Average,0.050149097137876936,0.10961128280865266,-0.12217781417311213,0.2805888767973946,0.6472990149524511,
-24,Average,-0.02039631475730834,0.08243924834886696,-0.17370810893244992,0.15139282759342543,0.8045907450615031,
-23,Average,0.021766354387913023,0.059696245436002784,-0.10261392171468224,0.14130422907834744,0.7153962167216339,
-22,Average,-0.03679913402027638,0.07294404972772262,-0.17230546698739804,0.109569167542141,0.613921032841072,
-21,Average,-0.06456000286061868,0.07984061187043365,-0.1950660953497022,0.10641530409930246,0.4187388933380689,
-20,Average,-0.018934561664394226,0.06680110442822623,-0.1487509560234041,0.10887792710755193,0.776834330166948,
-19,Average,-0.038938946821524927,0.09052951720652332,-0.2035008237347943,0.14189606723030004,0.6671052115207703,
-18,Average,0.036229950395206156,0.05690011069894149,-0.07401047223815413,0.14331025236552294,0.5243013825590739,
-17,Average,-0.07623274737282647,0.06625266437685984,-0.19517677271628409,0.06839390736313157,0.2498817263654023,
-16,Average,0.014560276002209691,0.06586803924388772,-0.11936622648761586,0.14579589794000944,0.8250517763936371,
-15,Average,0.02765725990897401,0.08461330614963004,-0.14476317066522382,0.17833297262586834,0.7437688178712065,
-14,Average,-0.03431363183671362,0.11501528302442957,-0.26212720582487464,0.1804242271973279,0.7654438617272581,
-13,Average,0.01430154739162635,0.09809962985686099,-0.16490968939674772,0.21972091937601865,0.8840903704222838,
-12,Average,-0.010021493879827634,0.1732581509118571,-0.3765547487485967,0.304576910056764,0.9538749615304283,
-11,Average,0.004832559140068117,0.27518645070024583,-0.5571794059120775,0.4670672162463161,0.9859890407269294,
-10,Average,0.0037979866237464067,0.20820935740541288,-0.4243143356585987,0.3563683234060023,0.9854464425544411,
-9,Average,-0.06459011206530861,0.2559443181333217,-0.5878292534459664,0.31332954287772585,0.8007628032058274,
-8,Average,-0.00275877827270793,0.20538893520021465,-0.43936026779561066,0.28833060438104424,0.9892831597708758,
-7,Average,0.016955513593295748,0.2878075327358136,-0.5711910038908316,0.4330379668855396,0.9530216569878951,
-6,Average,-4.584763932771349e-4,0.21050269878586683,-0.43635874757846094,0.31863772678573327,0.9982622030568675,
-5,Average,-0.007902247959435175,0.25547168172291024,-0.5506029820365154,0.34042436861997516,0.9753237763717189,
-4,Average,-0.023258119993420107,0.43580732715465414,-0.9572931646013201,0.5717850350217455,0.9574387842426462,
-3,Average,-0.011701044936408988,0.4080599711467332,-0.8458609036720215,0.5303047746041598,0.9771239413491692,
-2,Average,0.002303921043189514,0.5064425804066193,-1.049448736440549,0.6598311438814211,0.996370256451182,
-1,Average,-0.19928604185957743,0.3469602525391093,-0.9508111097169175,0.3789792442538412,0.5657126103947754,
0,Average,0.0020305101366773328,0.8066915971813642,-1.685165254614574,0.9940614861149111,0.9979916600302887,
1,Average,0.2569123139144318,0.88789239746921,-1.5568898494956025,1.3928845779552015,0.7723129943333487,
2,Average,0.36455181675362763,0.8818726460600032,-1.4415245266028989,1.5138308551105348,0.679325482302692,
3,Average,0.4479080284609043,0.878527478771197,-1.3897051152644988,1.5732984348638999,0.6101638957759534,
4,Average,0.5499613112926784,1.0062463477344938,-1.517173286983299,1.8352561150493958,0.5846897240596691,
5,Average,0.36253730486860763,1.0143853055545855,-1.7771570651553985,1.625741335527412,0.720795330832777,
6,Average,0.44873279865360044,1.00251585359796,-1.61250546515779,1.6996687744326735,0.6544370771717694,
7,Average,0.6199899812389155,0.9180681981887726,-1.3001603841648692,1.816722938795278,0.49947236530197836,
8,Average,0.52038236924368,0.8516265949489898,-1.2690083607944318,1.6106185311558834,0.5411696368234367,
9,Average,0.5397921629031319,0.8169863404948711,-1.1633434816937889,1.5941755407018805,0.5087974318583277,
10,Average,0.33465155749294406,0.7179748591289735,-1.1509567766467683,1.2433249266654904,0.641140458378761,
