time,level,estimate,std_error,lower_bound,upper_bound,p_value,sig
-54,Average,-1.2330742975628872,1.5118523156219108,-4.180358894318797,1.732371843723045,0.41472609273968297,
-53,Average,-1.2261598544089782,1.5063991710378246,-4.149046525901099,1.7379514401552396,0.4156636125330093,
-52,Average,-0.38532063764400776,0.5422087582655328,-1.4059081690011472,0.7301523433665489,0.47730116960188784,
-51,Average,-0.37600528000255845,0.5356344872853953,-1.380207840920845,0.7303522738814998,0.482690957849103,
-50,Average,-0.3801333034626871,0.5416268668717037,-1.3910606491037945,0.7321985776503048,0.48278136484271683,
-49,Average,-0.34150213071011254,0.5182616708486979,-1.3046396101971884,0.7112312288191893,0.5099358035854955,
-48,Average,-0.3618744631024114,0.5306908118479908,-1.3572054507672018,0.7306011102422711,0.4953064769446358,
-47,Average,-0.34146602041095875,0.5177798124646862,-1.3060289643129153,0.7079307286708965,0.5095868538543886,
-46,Average,-0.2470029298966851,0.47138890384575605,-1.1308011285800117,0.7369043654634868,0.6002857044633765,
-45,Average,-0.28187495847819716,0.4829186587590897,-1.1619347675902005,0.6997431533937346,0.5594286643032254,
-44,Average,-0.32445001386639954,0.5043197982742901,-1.2654345823876862,0.7025294281575276,0.5200023298376304,
-43,Average,-0.3629906520051775,0.5272036791334285,-1.3540810437694555,0.6997062295890648,0.4911249325139455,
-42,Average,-0.2743989765953482,0.48516296574582446,-1.212301017475213,0.7118250885519021,0.571678617061345,
-41,Average,-0.3303054993303408,0.5067960892130153,-1.2727628154108763,0.6950616190467306,0.5145609998318104,
-40,Average,0.0618122458525727,0.25258697898289456,-0.3516510697331462,0.6162316189668192,0.8066758151330555,
-39,Average,0.3699891048035306,0.45846387746763423,-0.4709707536143117,1.3218610216216538,0.41965548030862565,
-38,Average,0.3507080719424279,0.5414549406905549,-0.6529658969481412,1.4449666340014633,0.5171697964365922,
-37,Average,0.4136208099229677,0.48722697704540996,-0.517312171336882,1.366138616986579,0.3959211440499908,
-36,Average,0.028606097372064952,0.31704555651323185,-0.4909360538164403,0.6798274817868768,0.9281067588900702,
-35,Average,0.3423319137354751,0.37216382089422634,-0.36301995973183754,1.081392933698809,0.35765533114400827,
-34,Average,0.07029148551118394,0.29991399239310906,-0.5143204668818111,0.6555354547568254,0.8146960820623079,
-33,Average,0.3119181887906273,0.4471912063871017,-0.5462479774703508,1.174475642578479,0.48548669055878246,
-32,Average,0.21929753929875298,0.43459386587016424,-0.6527653249242754,1.0589699579811735,0.6138374262406279,
-31,Average,0.02514411693427059,0.3540968713703435,-0.6708192826527873,0.7110870029994261,0.943390475295447,
-30,Average,0.15887255427078878,0.3815709339651475,-0.6420464432649189,0.8650600593289401,0.6771433720518774,
-29,Average,0.2986162529655154,0.3885564885051097,-0.47607990862141536,1.069992521162633,0.44217400258384343,
-28,Average,0.17888294672947097,0.32816173061669407,-0.5013834701233082,0.7926547637623247,0.5856805777594167,
-27,Average,0.2307186000928989,0.35756130302235717,-0.47670815563646185,0.9170368807695577,0.5187612579331606,
-26,Average,0.14599147101195512,0.27749178220714565,-0.379517660099184,0.6989367155912879,0.5988111063514225,
-25,Average,0.39590549177401796,0.47392259788943103,-0.5239506968252343,1.2780140886408986,0.40350374902189334,
-24,Average,0.11283393068308448,0.3254841938331337,-0.5473505702406765,0.7335526983521802,0.7288431167697349,
-23,Average,0.22097185950861178,0.30719505244809453,-0.3963185570209713,0.7938924663501729,0.4719431453348828,
-22,Average,-0.024860887078850303,0.21216630740344714,-0.46026641273768876,0.3814338122148075,0.9067202570257982,
-21,Average,0.13622166301786248,0.22548807618198885,-0.29249110984623905,0.5753333297747276,0.5457644341850112,
