time,level,estimate,std_error,lower_bound,upper_bound,p_value,sig
-54,Average,-0.9520039917988323,1.2681403499771262,-3.2622198013253634,1.5505494071646613,0.4528279868397129,
-53,Average,-0.9520039917988323,1.2681403499771262,-3.2622198013253634,1.5505494071646613,0.4528279868397129,
-52,Average,-0.24391046780192083,0.4523691201927502,-1.0055788539339368,0.6995029985414689,0.5897594782498388,
-51,Average,-0.24391046780192083,0.4523691201927502,-1.0055788539339368,0.6995029985414689,0.5897594782498388,
-50,Average,-0.2438405615413488,0.4575398147568029,-1.0201656701100588,0.7087856813199445,0.5940761850102003,
-49,Average,-0.24382959387362169,0.4583628695253748,-1.020069832328348,0.7105929831946294,0.5947553894474245,
-48,Average,-0.24381053584875806,0.45962154942305045,-1.0247602867351568,0.7164558474281646,0.5957935047883818,
-47,Average,-0.24380973361261543,0.45967875485020165,-1.0242885232247152,0.7162342026096324,0.5958404739317937,
-46,Average,-0.17457174589406993,0.43028393734736964,-0.8724106580818929,0.7615041298367298,0.6849535595671568,
-45,Average,-0.2438872423799261,0.4538997193868485,-1.0062268828789178,0.7031238120132565,0.5910498714329606,
-44,Average,-0.243894293016261,0.4535538033438181,-1.0094549245251072,0.7015363730239439,0.5907561476339231,
-43,Average,-0.24391046780192083,0.4523691201927502,-1.0055788539339368,0.6995029985414689,0.5897594782498388,
-42,Average,-0.24387989025632134,0.454550516602123,-1.0118601460717231,0.70429468769865,0.5915924575840841,
-41,Average,-0.24391046780192083,0.4523691201927502,-1.0055788539339368,0.6995029985414689,0.5897594782498388,
-40,Average,0.12231214832092965,0.3084601261665511,-0.4328723429790141,0.7667408863620673,0.6917177764281051,
-39,Average,0.42432602837178807,0.49193396622995317,-0.5033498947973916,1.3986513376237444,0.38837555511388056,
-38,Average,0.3337588317763126,0.610514530225837,-0.770001139528932,1.5646564272872139,0.5845955035592532,
-37,Average,0.3587341190015457,0.4805634084024882,-0.5480345235629991,1.2721130098809588,0.455373555722264,
-36,Average,0.1690389114230963,0.40501546939292277,-0.4904269155202247,0.9941339783022491,0.6764121193400081,
-35,Average,0.18723579044784266,0.29257315392336675,-0.4064400260124944,0.7333557688753775,0.5221971050545078,
