time,level,estimate,std_error,lower_bound,upper_bound,p_value,sig
-54,Average,-0.005256546873538215,0.26719557041848785,-0.43854103541341916,0.4340245245366595,0.984304204360894,
-53,Average,-0.005256546873538215,0.26719557041848785,-0.43854103541341916,0.4340245245366595,0.984304204360894,
-52,Average,0.006579812859111402,0.16144132969168354,-0.2799259104973331,0.34616930602231816,0.9674898737780875,
-51,Average,0.006579812859111402,0.16144132969168354,-0.2799259104973331,0.34616930602231816,0.9674898737780875,
-50,Average,0.006579812859111402,0.16144132969168354,-0.2799259104973331,0.34616930602231816,0.9674898737780875,
-49,Average,0.006579812859111402,0.16144132969168354,-0.2799259104973331,0.34616930602231816,0.9674898737780875,
-48,Average,0.006579812859111402,0.16144132969168354,-0.2799259104973331,0.34616930602231816,0.9674898737780875,
-47,Average,0.006579812859111402,0.16144132969168354,-0.2799259104973331,0.34616930602231816,0.9674898737780875,
-46,Average,0.006579812859111402,0.16144132969168354,-0.2799259104973331,0.34616930602231816,0.9674898737780875,
-45,Average,0.006579812859111402,0.16144132969168354,-0.2799259104973331,0.34616930602231816,0.9674898737780875,
-44,Average,0.006579812859111402,0.16144132969168354,-0.2799259104973331,0.34616930602231816,0.9674898737780875,
-43,Average,0.006579812859111402,0.16144132969168354,-0.2799259104973331,0.34616930602231816,0.9674898737780875,
-42,Average,0.006579812859111402,0.16144132969168354,-0.2799259104973331,0.34616930602231816,0.9674898737780875,
-41,Average,0.006579812859111402,0.16144132969168354,-0.2799259104973331,0.34616930602231816,0.9674898737780875,
-40,Average,0.006579812859111402,0.16144132969168354,-0.2799259104973331,0.34616930602231816,0.9674898737780875,
-39,Average,0.006579812859111402,0.16144132969168354,-0.2799259104973331,0.34616930602231816,0.9674898737780875,
-38,Average,0.006580630029532265,0.16079900013788984,-0.27962330050680934,0.34616960419912696,0.9673560293667061,
-37,Average,0.006580328436243672,0.16102666696160403,-0.27991789552731056,0.3461694941509387,0.9674036503333951,
-36,Average,-0.026557233673967895,0.16393944044243128,-0.3434239830797058,0.31097442020433325,0.8713104444698785,
-35,Average,-0.011606357274673207,0.15278680326808036,-0.28680422375232617,0.3135410077324629,0.939447423948016,
-34,Average,-0.007366403761535116,0.14906711742015968,-0.2716589967089077,0.2960090090765433,0.9605872264807622,
-33,Average,-0.0033074027366637427,0.14372460057207853,-0.26972126339415486,0.2931057352894718,0.9816406330015941,
-32,Average,-0.04424361183297774,0.13450692812437667,-0.2927783401732652,0.2096958072535369,0.7422072047182076,
-31,Average,0.06971114586294738,0.12865232422746986,-0.17628468104344347,0.3334706666776548,0.5879171098213536,
-30,Average,0.0235680050507526,0.07438572597609816,-0.1143775608023003,0.17815363657404326,0.7513687688446573,
-29,Average,-0.07364348454235761,0.2100473936780157,-0.47360159577429384,0.35791909676546385,0.7258853547645336,
-28,Average,-0.0016253387365906976,0.16434574037415678,-0.33839729148222963,0.28085845641784435,0.9921092476055213,
-27,Average,0.00686209619272415,0.1155551876101453,-0.24106445311767943,0.19969986180444824,0.9526464846458134,
-26,Average,0.11777272948221575,0.23359545527722037,-0.36018444002251526,0.5396139551842005,0.6141391863471497,
-25,Average,0.10272164405189103,0.1977510294255606,-0.2887155269564399,0.4805620069454358,0.6034474235801879,
-24,Average,-0.15161983702934426,0.21658407681777092,-0.574459047532761,0.27203801209239264,0.48389563541167124,
-23,Average,-0.14101444054987952,0.25760500898982125,-0.6396617715385018,0.382461478473217,0.58410006606553,
-22,Average,0.37780681642351416,0.8685535301771965,-1.5021620200504264,1.8318223275220178,0.663574101633229,
-21,Average,-0.1665959060765321,0.28477618638430535,-0.7408592066922896,0.376958626454884,0.5585433792451122,
-20,Average,-0.05938404213230645,0.1590996527235038,-0.39192902834519644,0.22981666235933604,0.7089619333956618,
-19,Average,-0.17659787127129234,0.2573952716628332,-0.7075328607212831,0.2895538263660307,0.49265256098837185,
-18,Average,0.13957551858544767,0.28481911665600157,-0.42739046008136183,0.660208597307892,0.6240987404649252,
