time,level,estimate,std_error,lower_bound,upper_bound,p_value,sig
-54,Average,-0.005321641375609587,0.2650981713525224,-0.4374097843554948,0.43612742424685036,0.9839841583522138,
-53,Average,-0.005321641375609587,0.2650981713525224,-0.4374097843554948,0.43612742424685036,0.9839841583522138,
-52,Average,0.006507558527548372,0.16139294516482894,-0.2893701438691705,0.3372322389364116,0.9678370459092036,
-51,Average,0.006507558527548372,0.16139294516482894,-0.2893701438691705,0.3372322389364116,0.9678370459092036,
-50,Average,0.006507558527548372,0.16139294516482894,-0.2893701438691705,0.3372322389364116,0.9678370459092036,
-49,Average,0.006507558527548372,0.16139294516482894,-0.2893701438691705,0.3372322389364116,0.9678370459092036,
-48,Average,0.006507558527548372,0.16139294516482894,-0.2893701438691705,0.3372322389364116,0.9678370459092036,
-47,Average,0.006507558527548372,0.16139294516482894,-0.2893701438691705,0.3372322389364116,0.9678370459092036,
-46,Average,0.006507558527548372,0.16139294516482894,-0.2893701438691705,0.3372322389364116,0.9678370459092036,
-45,Average,0.006507558527548372,0.16139294516482894,-0.2893701438691705,0.3372322389364116,0.9678370459092036,
-44,Average,0.006507558527548372,0.16139294516482894,-0.2893701438691705,0.3372322389364116,0.9678370459092036,
-43,Average,0.006507558527548372,0.16139294516482894,-0.2893701438691705,0.3372322389364116,0.9678370459092036,
-42,Average,0.006507558527548372,0.16139294516482894,-0.2893701438691705,0.3372322389364116,0.9678370459092036,
-41,Average,0.006507558527548372,0.16139294516482894,-0.2893701438691705,0.3372322389364116,0.9678370459092036,
-40,Average,0.006507558527548372,0.16139294516482894,-0.2893701438691705,0.3372322389364116,0.9678370459092036,
-39,Average,0.006507558527548372,0.16139294516482894,-0.2893701438691705,0.3372322389364116,0.9678370459092036,
-38,Average,0.006508131077294231,0.1604499065130404,-0.28847980030080894,0.33233869889952317,0.967645267779589,
-37,Average,0.006507919766218437,0.16078902272177054,-0.28902916592301714,0.3331610699269112,0.9677145167917609,
-36,Average,-0.02672101607245429,0.1609065374359453,-0.341974850759846,0.3081144939312408,0.8681054458040789,
-35,Average,-0.011680123420199981,0.15079390131924209,-0.28670833628641934,0.29880749687780706,0.9382595743731643,
-34,Average,-0.00742429450692413,0.14587816531584544,-0.2725961181509584,0.29197884231148974,0.9594101441517311,
-33,Average,-0.003326643350817754,0.14118582260457316,-0.25237169126788517,0.28776256379538545,0.9812018534007043,
-32,Average,-0.04429461914262648,0.1344340144902367,-0.30214149061149126,0.22298498624524285,0.741785600210294,
-31,Average,0.0697261901270561,0.13614600931345278,-0.17878111922780066,0.3453826246639443,0.608551114672188,
-30,Average,0.023494522906955657,0.07404807298772884,-0.11062728179548768,0.1643906786894485,0.7510255130565899,
-29,Average,-0.07382185939534346,0.21699849004169142,-0.469748308467964,0.36414027766604945,0.7337094817707501,
-28,Average,-0.0016915330116993599,0.16948065318576414,-0.3430673400803693,0.29279116992097126,0.9920366977482957,
-27,Average,0.006825626699036168,0.11821389666288869,-0.23836427652858183,0.1956019319537275,0.9539560258590511,
-26,Average,0.11767715305793391,0.25233982293525814,-0.3932847033367908,0.5518581804626688,0.6409693152142228,
-25,Average,0.10283777294611463,0.2137499960817941,-0.31974588858559316,0.48741925936873826,0.6304366177871437,
-24,Average,-0.15167289388342767,0.2403483851260128,-0.6065992972723999,0.302671532486657,0.5280049882837479,
-23,Average,-0.14112282522588995,0.2774279543719791,-0.6359147815515198,0.40603316525328725,0.6109745890786151,
-22,Average,0.3779115762064676,0.8834861340192199,-1.4907867610401504,1.8565304685729151,0.6688328278849311,
-21,Average,-0.16662928924535456,0.30213861057257435,-0.7445827224303294,0.41179288401000436,0.581291317082802,
-20,Average,-0.059256205497744706,0.16467552473738375,-0.39681642972737163,0.2710269239917745,0.7189696736909816,
-19,Average,-0.17654518801901894,0.280730178305016,-0.6976011633800882,0.37290937159527904,0.5294285686147284,
-18,Average,0.1396715131394426,0.29027328957646936,-0.45313009362420087,0.7225879349353412,0.6303939316490312,
-17,Average,0.20377752091858312,0.38779116393343077,-0.5889465294032498,0.9667822567607983,0.5992477248650439,
-16,Average,-0.04627169304712373,0.15759074742484125,-0.3801620801616092,0.24654283727080192,0.7690487869731346,
-15,Average,-0.0961859214429495,0.21904469120428036,-0.5414189724378866,0.333778482787918,0.6605778407701188,
-14,Average,0.19893998021386675,0.3336623970969197,-0.4427005857506967,0.8467579749461525,0.5510206876089594,
-13,Average,0.017094612407803963,0.1810910556435195,-0.30744149600003345,0.3844137810766982,0.9247930968713791,
-12,Average,-0.08280478854033568,0.24798505537018373,-0.587188282354806,0.4005766687047908,0.738447173210985,
-11,Average,-0.10578214453822411,0.29086290719240065,-0.6846301708618457,0.4408995780800843,0.7160940977949513,
-10,Average,-0.12498650772336484,0.34089474648340634,-0.8028343344104999,0.518789430440282,0.7138856898450254,
-9,Average,0.14172141132962227,0.35322773272693553,-0.49828636859211395,0.8103546403374748,0.6882594484084454,
-8,Average,-0.18707843538283767,0.4209312393085793,-1.0271110438478406,0.618180945331168,0.6567249192920319,
-7,Average,-0.08486823631751017,0.347490686690316,-0.7886094944901986,0.5403837489342738,0.8070513880001355,
-6,Average,-0.12622012936988322,0.3676512447040183,-0.8827979736214654,0.5721181914775022,0.7313616155215583,
-5,Average,0.22173373650561778,0.5096491722238964,-0.8217829095887741,1.2257814475641555,0.6635106624681659,
-4,Average,-0.023855270201498146,0.3269968122929693,-0.7075678642662174,0.6081772185819573,0.9418438304561774,
-3,Average,0.20866850572972015,0.45896298247758943,-0.6581433370948415,1.1308904164259708,0.6493595120135134,
