time,level,estimate,std_error,lower_bound,upper_bound,p_value,sig
-54,Average,-1.1559770635260556,1.33303355190184,-3.7368266855368266,1.4525112090064005,0.38584461415562155,
-53,Average,-1.1559770635260556,1.33303355190184,-3.7368266855368266,1.4525112090064005,0.38584461415562155,
-52,Average,-0.35579499456722496,0.47456545868131056,-1.2686876342800182,0.5748764859749022,0.4534185626158185,
-51,Average,-0.35579499456722496,0.47456545868131056,-1.2686876342800182,0.5748764859749022,0.4534185626158185,
-50,Average,-0.35576988959686817,0.4774751874348123,-1.264073102736266,0.5774046792278791,0.45620730979019175,
-49,Average,-0.355749893769069,0.47984009103112013,-1.2686814989189599,0.5843242409089793,0.45845542863256683,
-48,Average,-0.3557433930145025,0.48034599641871223,-1.2754388838977504,0.5859747280682162,0.45893708371642994,
-47,Average,-0.35573897881447475,0.48074069733790353,-1.2733059970861278,0.5908612328355036,0.459311527169628,
-46,Average,-0.2864677315776816,0.4430378610059921,-1.104229646236377,0.5786612554043951,0.5178916607348527,
-45,Average,-0.3557827930992058,0.4755999537058796,-1.2703035670032807,0.5789785285995048,0.4544170031678041,
-44,Average,-0.35579499456722496,0.47456545868131056,-1.2686876342800182,0.5748764859749022,0.4534185626158185,
-43,Average,-0.35579499456722496,0.47456545868131056,-1.2686876342800182,0.5748764859749022,0.4534185626158185,
-42,Average,-0.35579499456722496,0.47456545868131056,-1.2686876342800182,0.5748764859749022,0.4534185626158185,
-41,Average,-0.35579499456722496,0.47456545868131056,-1.2686876342800182,0.5748764859749022,0.4534185626158185,
-40,Average,0.11605489256228452,0.225903133905643,-0.25229194404168,0.5884277073741692,0.6074355878939335,
-39,Average,0.33089833387896317,0.41178374359170083,-0.4379349437285841,1.1709731730493438,0.4216435714750346,
-38,Average,0.2385032751481575,0.49255665763874656,-0.6014227618099024,1.2657647890958859,0.6282333600087346,
-37,Average,0.34240310090508724,0.3912425249738044,-0.4009750384744359,1.1410856198459782,0.3814822755556948,
-36,Average,-0.0866005348095683,0.2773232163770797,-0.5797859746231433,0.4826979000374796,0.754833106825251,
-35,Average,0.1723658333343859,0.24265605203688115,-0.3009689115499682,0.6530260428854473,0.4774996228439945,
-34,Average,0.17355572046817078,0.2553857900312958,-0.31132716863449905,0.6732008376713856,0.49676883660663407,
-33,Average,0.30618874250526273,0.4276325859433829,-0.5291437450058525,1.168416074066951,0.4739858461416735,
-32,Average,0.21538280717241073,0.39607117942366515,-0.5628712893577099,0.9735321796089206,0.5865803255045159,
-31,Average,0.16806201418688715,0.30002334350876597,-0.38549819343326774,0.7745359534791394,0.5753681754233275,
-30,Average,0.1891239393034016,0.36405004400493113,-0.49271238848159743,0.9259378714804865,0.6034122250387512,
-29,Average,0.20982810150103362,0.2910160671826734,-0.33853062668579714,0.7643272249835337,0.47089785078103397,
-28,Average,0.17364872384689675,0.30122068653039963,-0.4270488243153998,0.7557148405930814,0.5642884907262307,
-27,Average,0.15216402226454334,0.2980427910718997,-0.37894649846086187,0.7544737883671293,0.6096702477981739,
-26,Average,0.25835330555086927,0.26464778190542354,-0.25437465563759604,0.7887881123883966,0.32895761105598487,
-25,Average,0.39168918581671985,0.4027429391339428,-0.3736033767335891,1.2231580191703333,0.33077510145225864,
-24,Average,0.14220472450932548,0.3471911687424468,-0.46825585129173725,0.8509037896312404,0.6821094942547075,
-23,Average,0.07613128676271089,0.18753482790699127,-0.3030203748211613,0.4530796217158045,0.6847733701698839,
